Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.00880415, 0, 0.999982, 0.999982, 1.79175e-05
0.015625, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.03125, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.046875, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.0625, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.078125, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.09375, 0.00880415, 0, 0.999982, 0.999982, 1.79174e-05
0.109375, 0.0302191, 0.00532706, 0.998769, 0.998817, 0.00118319
0.125, 0.0542339, 0.0123364, 0.995733, 0.995803, 0.0041973
0.140625, 0.0749528, 0.0193457, 0.991955, 0.992034, 0.00796568
0.15625, 0.0932177, 0.026355, 0.987858, 0.987942, 0.012058
0.171875, 0.109584, 0.0333642, 0.983645, 0.983729, 0.0162708
0.1875, 0.124435, 0.0403735, 0.979415, 0.979499, 0.0205011
0.203125, 0.138044, 0.0473828, 0.975222, 0.975305, 0.0246949
0.21875, 0.150613, 0.0543921, 0.971095, 0.971177, 0.0288231
0.234375, 0.162297, 0.0614014, 0.96705, 0.96713, 0.0328704
0.25, 0.167431, 0.0664481, 0.963725, 0.963725, 0.0362752
0.265625, 0.13874, 0.0594388, 0.962826, 0.962861, 0.0371387
0.28125, 0.114172, 0.0524295, 0.960601, 0.960652, 0.0393475
0.296875, 0.0928061, 0.0454202, 0.95785, 0.957908, 0.0420925
0.3125, 0.0738308, 0.0384109, 0.95489, 0.954951, 0.0450494
0.328125, 0.0567065, 0.0314016, 0.951865, 0.951925, 0.0480747
0.34375, 0.0410616, 0.0243923, 0.94884, 0.9489, 0.0510998
0.359375, 0.0266305, 0.0173831, 0.94585, 0.945909, 0.0540906
0.375, 0.0132161, 0.0103738, 0.942912, 0.94297, 0.0570302
0.390625, 0.000668192, 0.00336446, 0.940032, 0.940089, 0.0599107
0.40625, -0.0111308, -0.00364483, 0.937215, 0.937271, 0.0627293
0.421875, -0.0222742, -0.0106541, 0.93446, 0.934514, 0.0654855
0.4375, -0.0328386, -0.0176634, 0.931766, 0.931819, 0.0681808
0.453125, -0.0428869, -0.0246727, 0.929131, 0.929183, 0.070817
0.46875, -0.0524715, -0.031682, 0.926552, 0.926603, 0.0733968
0.484375, -0.0616368, -0.0386913, 0.924027, 0.924077, 0.0759227
0.5, -0.0704206, -0.0457006, 0.921554, 0.921603, 0.0783975
0.515625, -0.0788555, -0.0527099, 0.919128, 0.919176, 0.0808237
0.53125, -0.0869698, -0.0597192, 0.916749, 0.916796, 0.0832038
0.546875, -0.0947882, -0.0667285, 0.914413, 0.91446, 0.0855403
0.5625, -0.102333, -0.0737378, 0.912119, 0.912165, 0.0878354
0.578125, -0.109622, -0.0807471, 0.909864, 0.909909, 0.0900912
0.59375, -0.116674, -0.0877564, 0.907646, 0.90769, 0.0923098
0.609375, -0.123503, -0.0947657, 0.905464, 0.905507, 0.094493
0.625, -0.130124, -0.101775, 0.903315, 0.903358, 0.0966425
0.640625, -0.136549, -0.108784, 0.901198, 0.90124, 0.09876
0.65625, -0.142789, -0.115794, 0.899112, 0.899153, 0.100847
0.671875, -0.148855, -0.122803, 0.897054, 0.897095, 0.102905
0.6875, -0.154755, -0.129812, 0.895025, 0.895065, 0.104935
0.703125, -0.160498, -0.136821, 0.893022, 0.893062, 0.106938
0.71875, -0.166093, -0.143831, 0.891045, 0.891084, 0.108916
0.734375, -0.171546, -0.15084, 0.889092, 0.889131, 0.110869
0.75, -0.143609, -0.144391, 0.88862, 0.888641, 0.111359
0.765625, -0.1189, -0.137382, 0.887227, 0.88726, 0.11274
0.78125, -0.0975471, -0.130373, 0.88546, 0.885497, 0.114503
0.796875, -0.0786334, -0.123364, 0.883545, 0.883584, 0.116416
0.8125, -0.0615838, -0.116354, 0.88158, 0.88162, 0.11838
0.828125, -0.0460143, -0.109345, 0.879612, 0.879651, 0.120349
0.84375, -0.0316544, -0.102336, 0.877661, 0.8777, 0.1223
0.859375, -0.0183053, -0.0953264, 0.875741, 0.875779, 0.124221
0.875, -0.00581659, -0.0883171, 0.873855, 0.873892, 0.126108
0.890625, 0.00592909, -0.0813078, 0.872005, 0.872042, 0.127958
0.90625, 0.0170251, -0.0742985, 0.870193, 0.870229, 0.129771
0.921875, 0.0275471, -0.0672892, 0.868417, 0.868452, 0.131548
0.9375, 0.0375574, -0.0602799, 0.866676, 0.866711, 0.133289
0.953125, 0.047108, -0.0532706, 0.864969, 0.865003, 0.134997
0.96875, 0.0562428, -0.0462614, 0.863293, 0.863326, 0.136674
0.984375, 0.0649994, -0.0392521, 0.861648, 0.86168, 0.13832
1, 0.07341, -0.0322428, 0.860031, 0.860063, 0.139937
1.01562, 0.0815026, -0.0252335, 0.85844, 0.858472, 0.141528
1.03125, 0.0893016, -0.0182242, 0.856876, 0.856907, 0.143093
1.04688, 0.0968287, -0.0112149, 0.855335, 0.855365, 0.144635
1.0625, 0.104103, -0.00420558, 0.853816, 0.853847, 0.146153
1.07812, 0.111141, 0.00280372, 0.852319, 0.852349, 0.147651
1.09375, 0.117959, 0.00981301, 0.850843, 0.850872, 0.149128
1.10938, 0.124569, 0.0168223, 0.849385, 0.849414, 0.150586
1.125, 0.130984, 0.0238316, 0.847946, 0.847974, 0.152026
1.14062, 0.137216, 0.0308409, 0.846523, 0.846552, 0.153448
1.15625, 0.143275, 0.0378502, 0.845117, 0.845145, 0.154855
1.17188, 0.149169, 0.0448595, 0.843727, 0.843755, 0.156245
1.1875, 0.154907, 0.0518688, 0.842351, 0.842378, 0.157622
1.20312, 0.160498, 0.0588781, 0.840989, 0.841017, 0.158983
1.21875, 0.165947, 0.0658874, 0.839641, 0.839668, 0.160332
1.23438, 0.171263, 0.0728967, 0.838306, 0.838332, 0.161668
1.25, 0.144701, 0.0670089, 0.837974, 0.837987, 0.162013
1.26562, 0.120032, 0.0599996, 0.837075, 0.837096, 0.162904
1.28125, 0.0987599, 0.0529903, 0.835928, 0.835953, 0.164047
1.29688, 0.0799301, 0.045981, 0.834685, 0.834711, 0.165289
1.3125, 0.0629587, 0.0389717, 0.833409, 0.833435, 0.166565
1.32812, 0.0474595, 0.0319624, 0.832128, 0.832154, 0.167846
1.34375, 0.033162, 0.0249531, 0.830858, 0.830883, 0.169117
1.35938, 0.0198684, 0.0179438, 0.829604, 0.829629, 0.170371
1.375, 0.00742899, 0.0109345, 0.828371, 0.828395, 0.171605
1.39062, -0.00427283, 0.00392521, 0.827159, 0.827183, 0.172817
1.40625, -0.0153297, -0.00308409, 0.825968, 0.825992, 0.174008
1.42188, -0.0258166, -0.0100934, 0.824798, 0.824821, 0.175179
