Shear strain (%), Vert strain (%), Shear stress (atm), Shear stress ratio, Vert eff stress (atm), Vert eff stress ratio
0, 0, 0, 0, 0.025, 1
0.006, 2.32763e-07, 0.00347922, 0.127009, 0.0248086, 0.994378
0.016, 1.51616e-06, 0.00579481, 0.231344, 0.0241804, 0.969976
0.026, 2.99725e-06, 0.00732643, 0.305485, 0.0234889, 0.942129
0.036, 4.1736e-06, 0.00845266, 0.363758, 0.0229097, 0.918517
0.046, 5.09146e-06, 0.00933161, 0.411762, 0.0224248, 0.898792
0.056, 5.86083e-06, 0.0100434, 0.452525, 0.0220116, 0.882007
0.066, 6.40738e-06, 0.0106767, 0.487643, 0.0217522, 0.870331
0.076, 6.10334e-06, 0.0113915, 0.517136, 0.0219146, 0.875282
0.086, 5.07832e-06, 0.0121918, 0.541988, 0.0224008, 0.893614
0.096, 3.59574e-06, 0.0130683, 0.563149, 0.023126, 0.921781
0.106, 1.78452e-06, 0.0140118, 0.581329, 0.0240338, 0.95744
0.116, -2.85733e-07, 0.0150144, 0.597068, 0.0250856, 0.998992
0.126, -2.56858e-06, 0.0160693, 0.610788, 0.0262543, 1.04531
0.136, -5.02995e-06, 0.017171, 0.622823, 0.0275201, 1.09558
0.146, -7.64413e-06, 0.018315, 0.633437, 0.0288685, 1.14921
0.156, -1.03914e-05, 0.0194973, 0.642845, 0.0302882, 1.20573
0.166, -1.32563e-05, 0.0207148, 0.651221, 0.0317708, 1.2648
0.176, -1.62266e-05, 0.0219646, 0.658706, 0.0333095, 1.32613
0.186, -1.92927e-05, 0.0232445, 0.66542, 0.0348989, 1.38951
0.196, -2.24466e-05, 0.0245525, 0.67146, 0.0365348, 1.45477
0.206, -2.56818e-05, 0.0258868, 0.676909, 0.0382136, 1.52176
0.216, -2.89929e-05, 0.027246, 0.681836, 0.0399325, 1.59035
0.226, -3.23756e-05, 0.0286288, 0.686301, 0.0416889, 1.66046
0.236, -3.58261e-05, 0.0300339, 0.690353, 0.043481, 1.73201
0.246, -3.93412e-05, 0.0314605, 0.694036, 0.0453069, 1.80491
0.256, -4.29184e-05, 0.0329076, 0.697387, 0.0471654, 1.87913
0.266, -4.65553e-05, 0.0343744, 0.700439, 0.0490552, 1.95459
0.276, -5.0255e-05, 0.0358574, 0.703137, 0.0509787, 2.03139
0.286, -5.40286e-05, 0.0373532, 0.705374, 0.0529399, 2.10969
0.296, -5.78716e-05, 0.0388628, 0.707243, 0.0549366, 2.18941
0.306, -6.17791e-05, 0.0403873, 0.708819, 0.0569668, 2.27049
0.316, -6.57479e-05, 0.0419271, 0.710155, 0.0590292, 2.35286
0.326, -6.9776e-05, 0.0434827, 0.711296, 0.0611226, 2.43648
0.336, -7.38639e-05, 0.0450542, 0.712259, 0.0632477, 2.52135
0.346, -7.80132e-05, 0.0466418, 0.713058, 0.0654044, 2.60749
0.356, -8.22203e-05, 0.0482454, 0.713723, 0.0675911, 2.69484
0.366, -8.64828e-05, 0.0498649, 0.714278, 0.0698067, 2.78336
0.376, -9.07987e-05, 0.0515005, 0.714742, 0.0720504, 2.87299
0.386, -9.51668e-05, 0.0531519, 0.715128, 0.0743213, 2.96372
0.396, -9.9586e-05, 0.0548191, 0.715449, 0.076619, 3.05552
0.406, -0.000104055, 0.0565021, 0.715711, 0.0789428, 3.14837
0.416, -0.000108574, 0.0582009, 0.715925, 0.0812925, 3.24226
0.426, -0.000113142, 0.0599152, 0.716094, 0.0836677, 3.33716
0.436, -0.000117758, 0.0616451, 0.716226, 0.086068, 3.43307
0.446, -0.000122422, 0.0633904, 0.716324, 0.0884932, 3.52998
0.456, -0.000127133, 0.0651513, 0.716391, 0.090943, 3.62788
0.466, -0.000131891, 0.0669274, 0.716432, 0.0934173, 3.72675
0.476, -0.000136695, 0.0687189, 0.71645, 0.0959158, 3.82659
0.486, -0.000141545, 0.0705257, 0.716447, 0.0984383, 3.9274
0.496, -0.000146442, 0.0723477, 0.716425, 0.100985, 4.02916
0.506, -0.000151383, 0.0741848, 0.716387, 0.103555, 4.13187
0.516, -0.00015637, 0.0760371, 0.716336, 0.106148, 4.23551
0.526, -0.000161401, 0.0779045, 0.716273, 0.108765, 4.34008
0.536, -0.000166476, 0.079787, 0.716202, 0.111404, 4.44557
0.546, -0.000171592, 0.0816841, 0.716128, 0.114065, 4.55191
0.556, -0.000176743, 0.0835944, 0.716056, 0.116744, 4.65901
0.566, -0.00018193, 0.085518, 0.715985, 0.119442, 4.76686
0.576, -0.000187153, 0.0874546, 0.715915, 0.122159, 4.87546
0.586, -0.000192411, 0.0894042, 0.715846, 0.124894, 4.9848
0.596, -0.000197704, 0.0913665, 0.715778, 0.127648, 5.09486
0.606, -0.000203031, 0.0933415, 0.715711, 0.130419, 5.20565
0.616, -0.000208393, 0.0953291, 0.715645, 0.133208, 5.31715
0.626, -0.000213789, 0.0973291, 0.71558, 0.136016, 5.42936
0.636, -0.000219219, 0.0993415, 0.715516, 0.13884, 5.54228
0.646, -0.000224681, 0.101366, 0.715453, 0.141682, 5.65589
0.656, -0.000230177, 0.103403, 0.715391, 0.144541, 5.77019
0.666, -0.000235706, 0.105452, 0.71533, 0.147418, 5.88517
0.676, -0.000241268, 0.107512, 0.71527, 0.150311, 6.00084
0.686, -0.000246861, 0.109585, 0.715211, 0.153221, 6.11718
0.696, -0.000252487, 0.111669, 0.715153, 0.156148, 6.23418
0.706, -0.000258144, 0.113764, 0.715095, 0.159091, 6.35184
0.716, -0.000263833, 0.115872, 0.715039, 0.162051, 6.47017
