Cycle num, CSR, Shear strain (%), Vert eff stress (atm), Vert eff stress ratio, ru
0, 0.0106397, 0, 0.999971, 0.999971, 2.91326e-05
0.0119048, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0238095, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0357143, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.047619, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0595238, 0.0106397, 0, 0.999971, 0.999971, 2.91301e-05
0.0714286, 0.0470951, 0.00790205, 0.996159, 0.996285, 0.00371493
0.0833333, 0.07839, 0.0163085, 0.98856, 0.98873, 0.0112704
0.0952381, 0.104309, 0.0247149, 0.979624, 0.979808, 0.020192
0.107143, 0.126235, 0.0331213, 0.970349, 0.970534, 0.0294658
0.119048, 0.145129, 0.0415278, 0.961157, 0.961339, 0.0386612
0.130952, 0.161653, 0.0499342, 0.952232, 0.952407, 0.0475929
0.142857, 0.176272, 0.0583406, 0.943648, 0.943817, 0.0561834
0.154762, 0.189324, 0.0667471, 0.935434, 0.935595, 0.0644054
0.166667, 0.201063, 0.0751535, 0.927591, 0.927744, 0.0722557
0.178571, 0.211686, 0.0835599, 0.920111, 0.920257, 0.0797427
0.190476, 0.221346, 0.0919664, 0.91298, 0.913119, 0.0868807
0.202381, 0.230167, 0.100373, 0.906181, 0.906314, 0.0936864
0.214286, 0.23825, 0.108779, 0.899696, 0.899823, 0.100177
0.22619, 0.246278, 0.117186, 0.893695, 0.893809, 0.106191
0.238095, 0.2531, 0.125592, 0.887825, 0.88794, 0.11206
0.25, 0.258509, 0.133662, 0.882421, 0.882418, 0.117582
0.257692, 0.219595, 0.125256, 0.881422, 0.881465, 0.118535
0.265385, 0.187232, 0.116849, 0.87873, 0.87879, 0.12121
0.273077, 0.160076, 0.108443, 0.875623, 0.875686, 0.124314
0.280769, 0.136563, 0.100037, 0.872464, 0.872527, 0.127473
0.288462, 0.115742, 0.0916301, 0.86937, 0.869431, 0.130569
0.296154, 0.0970034, 0.0832237, 0.866379, 0.866438, 0.133562
